# Galaxy-wide IMF output file.
# The columns are:
# mass xi
# where xi=dN/dm (see Yan et.al 2017 A&A...607A.126Y)

58.63552322760334 189.2946300829677
59.22187845987938 185.24017662534496
59.81409724447817 181.27461427069662
60.41223821692295 177.39595030948857
61.01636059909218 173.6022376316669
61.6265242050831 169.89157366384816
62.24278944713393 166.26209933127535
62.86521734160527 162.71199804512162
63.49386951502132 159.37401735089122
64.12880821017154 155.97424873718265
64.77009629227325 152.52038324822317
65.41779725519598 149.27042383490647
66.07197522774794 146.0913579926558
66.73269498002543 142.98160407296962
67.40002192982568 139.93961646105316
68.07402214912395 136.9638847392335
68.75476237061518 134.0529328699
69.44230999432133 131.2053183980921
70.13673309426454 128.41963167269648
70.83810042520719 125.6944950858504
71.54648142945926 123.0285623307098
72.26194624375385 120.32142979314447
72.98456570619139 117.77228396996233
73.7144113632533 115.27842990984746
74.45155547688584 112.838640703257
75.1960710316547 110.45171725281072
75.94803174197125 108.02838106638976
76.70751205939096 105.74573918732956
77.47458717998488 103.51247860504783
78.24933305178473 101.24539692942396
79.03182638230258 99.10954354103856
79.82214464612561 97.01982167808538
80.62036609258686 94.89868606814952
81.42656975351274 92.8999600775201
82.24083545104787 90.87132152766864
83.06324380555836 88.95953126262488
83.89387624361395 87.01925773786242
84.73281500605009 85.19052838548154
85.5801431561106 83.3346766744365
86.4359445876717 81.58531011766243
87.30030403354841 79.81011702234612
88.1733070738839 78.07463372926877
89.05504014462275 76.43845755608633
89.94559054606898 74.77827300939195
90.84504645152967 73.15515958958775
91.75349691604497 71.62466812723893
92.67103188520542 70.07185800402425
93.59774220405748 68.55365973569592
94.53371962609806 67.06928116734134
95.47905682235904 65.61794873549307
96.43384739058263 64.19890702114661
97.39818586448845 62.81141831412684
98.37216772313334 61.549921444888284
99.35588940036467 60.218376798153066
100.34944829436832 58.962165632412315
101.352942777312 57.73207665838335
102.36647220508512 56.481681643603494
103.39013692713597 55.30290851988964
104.42403829640733 54.1039891849228
105.46827867937141 52.974384266479625
106.52296146616513 51.824797825472544
107.58819108082677 50.74230453564311
108.66407299163504 49.6399988073792
109.75071372155139 48.560834237871426
110.84822085876691 47.5043219765948
111.95670306735458 46.46998365245166
113.07627009802813 45.4573511451942
114.20703279900842 44.46596636213549
115.3491031269985 43.49538101994432
116.50259415826848 42.54515643081743
117.66762009985116 41.61486329379079
118.84429630084968 40.66574879163882
120.03273926385818 39.73643942132056
121.23306665649676 38.86429041011366
122.44539732306173 37.97307213656573
123.66985129629235 37.10043495221809
124.90654980925528 36.209020692781195
126.15561530734783 35.372639064395145
127.41717146042132 34.51709885197183
128.69134317502554 33.678989342737026
129.9782566067758 32.85794179873955
131.27803917284356 32.01722016776098
132.590819564572 31.19293159194562
133.91672776021773 30.348158840363503
135.2558950378199 29.518925949564455
136.6084539881981 28.70488941060728
137.9745385280801 27.831149855430194
139.35428391336092 26.932734550657784
140.74782675249452 26.007482367699865
142.15530502001945 25.01300150160899
143.57685807021966 23.942457667057514
145.01262665092185 22.70074103656095
146.46275291743106 21.076647448591768
147.92738044660538 18.721912485098173
149.40665425107144 12.608013304493278
149.40665425107144 12.608013304493278
149.40665425107144 12.608013304493278
149.40665425107144 12.608013304493278
149.40665425107144 12.608013304493278
