X0316V    5268  0.95  0.22 100.0               Star # XSL (ng080V, PARAM_NGSL: 5164.  2.83 -1.15)
X0303V    5274  1.39 -1.36 100.0            RVTauV* # XSL
X0168V    5280  2.20  0.01 100.0               Star # XSL
X0375V    5302  4.57  0.13 100.0            HighPM* # XSL
X0019V    5369  2.57 -1.58 100.0           ChemPec* # XSL (ng001V  5013.  2.98 -1.99, Teff too low)
X0238V    5431  4.52 -0.58 100.0            HighPM* # SB (ng215V  5335.  4.23 -0.59)
X0110V    5389  2.53 -1.06 100.0            HighPM* # XSL (ng080V  5164.  2.83 -1.15, Teff too low)
X0144V    5316  1.72 -0.01 100.0               Star # Luck2014AJ....147..137L
X0223V    5457  4.40  0.30 100.0            HighPM* # SB (XSL very similar to SB) 
X0050V    5427  0.89 -0.30 100.0           YellowSG # XSL (clearly better than SB)
X0407V    5435  3.24 -2.65 100.0           ChemPec* ******************************************
X0290V    5706  4.43 -1.21 100.0                 ** 
X0360V    5708  3.74  0.19 100.0               Star 
X0405V    5729  3.59 -2.61 100.0           ChemPec* 
X0032V    5763  4.09 -1.97 100.0            HighPM* 
X0171V    5799  1.18  0.06 100.0               Star 
X0081V    5805  4.20 -1.39 100.0            HighPM* 
X0286V    5811  3.84 -1.53 100.0            HighPM* 
X0082V    5846  4.27 -1.51 100.0            HighPM* 
X0334V    5857  1.07  0.18 100.0       ClassicalCep 
X0392V    5867  3.91  0.15 100.0               Star 
X0386V    5877  4.15 -0.18 100.0            HighPM* 
X0344V    5878  3.20  0.22 100.0               Star 
X0069V    5884  1.09  0.10 100.0               Star 
X0186V    5902  4.01 -0.90 100.0            HighPM* 
X0036V    5933  3.81 -2.43 100.0           ChemPec* 
X0339V    5935  3.15 -1.13 100.0         HorBranch* 
X0335V    5940  1.17  0.25 100.0       ClassicalCep 
X0212V    5956  3.98  0.02 100.0            HighPM* 
X0017V    6000  4.00 -2.09 100.0                 **  m0596V (AE: 6276 4.48 -1.96)  
X0359V    6004  4.04 -1.04 100.0            HighPM* # (NO MILES, AE: 6118 3.95 -0.77) 
X0408V    6030  3.84 -2.42 100.0           ChemPec* 
X0113V    6031  4.32 -0.15 100.0            HighPM* 
X0242V    6033  0.63 -0.65 100.0          post-AGB* 
