typed ident		 identifier		 typ	    coord1 (ICRS,J2000/2000)		      pm	     plx	rv/z      Mag B	   Mag V     Mag R     Mag I     Mag J	   Mag H     Mag K     spec. type      
------------ ----------------------------------- --- --------------------------------------- -------------------- ---------- ----------- --------- --------- --------- --------- --------- --------- --------- ---------------------
HD003795     HD 3795				 SB* 00 40 32.7939851012 -23 48 17.728718238 668.109 -346.811	  35.0508     -45.77	 6.84	   6.14 	  ~	    ~	 5.130     4.545     4.333     K0VFe-1.5CH-1.3      
HD003883     HD 3883				 **  00 41 36.0377718120 +24 37 44.448788316 105.436 -13.372	  8.3213      -15.80	 6.333     6.046	  ~	    ~	 5.546     5.519     5.470     kA5hF1mF2	    
HD004188     * phi01 Cet			 PM* 00 44 11.4000904231 -10 36 34.382643011 -9.323 -113.192	  15.1265    	0.127004 5.773     4.767	  ~	    ~	 3.186     2.669     2.575     K0III		    
HD004307     * 18 Cet				 PM* 00 45 28.6874352984 -12 52 50.911589280 -33.606 -205.497	  30.8815     -10.350	 6.76	   6.15 	  ~	    ~	 4.995     4.774     4.622     G0V		    
HD004539     HD 4539				 HS* 00 47 29.2193758344 +09 58 55.690280832	4.658 24.311	  5.8281     	3.30	 10.12     10.24	  ~	    ~	 10.816    10.939    11.027    sdB		    
HD004628     HD 4628				 PM* 00 48 22.9759750919 +05 16 50.209484954 755.894 -1141.719    134.4948    -10.165	 6.64	   5.74      4.99      4.52	 4.367     3.722     3.683     K2.5V		    
HD004656     * del Psc  			 PM* 00 48 40.9443145328 +07 35 06.294902124  81.994 -50.232	  10.8577      32.45	 5.95	   4.44      3.27      2.40	 1.75	   1.00      0.83      K5-III		    
HD004744     HD 4744				 PM* 00 49 52.7905428912 +30 27 01.035653220 239.439 -29.324	  4.3573     -159.71	 8.69		~    7.0	    ~	 5.636     5.067     4.935     G8IV		    
HD004906     HD 4906				 PM* 00 51 14.0527959514 +18 47 25.165533686 -185.609 -236.632    10.0508     -83.25	 9.52		~    8.3	    ~	 7.275     6.827     6.767     G0		    
HD004915     HD 4915				 PM* 00 51 10.8478903584 -05 02 21.401155212 261.885 -119.043	  44.5912      -3.692	 7.643     6.972     6.604     6.252	 5.793     5.416     5.349     G5V		    
HD005268     * 21 Cet				 PM* 00 54 17.5927919832 -08 44 26.390035212  16.743 -48.222	  7.9239       46.57	 7.086     6.161	  ~	    ~	 4.513     4.019     3.910     G8III		    
HD005384     HD 5384				 *   00 55 42.4001599992 -07 20 49.735392864  -7.641 -44.637	  5.5954     	1.9	 7.381     5.850	  ~	    ~	 3.326     2.616     2.424     K5III		    
HD005395     * ups02 Cas			 Pe* 00 56 39.9051464088 +59 10 51.805287084 -92.611 -45.397	  16.6465     -47.941	 5.581     4.622	  ~	    ~	 3.123     2.680     2.468     G8.5IIIbFe-0.5	    
HD005494     HD 5494				 PM* 00 57 09.7882320672 +34 51 50.603372892  -51.969 26.590	  12.1569     -16.76	 8.47	   7.96 	  ~	    ~	 6.857     6.601     6.527     F7V		    
HD005780     HD 5780				 PM* 00 59 23.3115406464 +00 46 43.559521608 -25.531 -109.275	  2.0924     -103.6	 9.09	   7.65 	  ~	    ~	 5.365     4.369     4.215     K3/5(III)	    
HD005848     * 2 UMi				 PM* 01 08 44.8786355178 +86 15 25.526405536  80.457 -10.542	  10.8034    	8.28	 5.459     4.225	  ~	    ~	 2.355     1.887     1.656     K2III		    
HD005916     HD 5916				 PM* 01 01 19.0237779264 +45 27 07.392023460  98.719 -25.564	  6.0024      -68.30	 7.749     6.863	  ~	    ~	 5.238     4.923     4.652     G8III-IV 	    
HD006186     * eps Psc  			 PM* 01 02 56.6083833328 +07 53 24.479451631  -79.362 25.728	  17.8074    	7.7008   5.24	   4.28      3.50      2.98	 2.60	   2.235     2.00      G9IIIbFe-2	    
HD006203     * 25 Cet				 PM* 01 03 02.5369500840 -04 50 11.757188544 -116.585 -102.608    9.5083       15.3	 6.517     5.408	  ~	    ~	 3.509     2.798     2.638     K0/1III  	    
HD006229     HD 6229				 HB* 01 03 36.4558954200 +23 46 06.376430388  14.492 -20.529	  2.5182      -92.27	 9.35	   8.58 	  ~	    ~	 7.088     6.646     6.575     G5III:Sr 	    
HD006268     HD 6268				 Pe* 01 03 18.1716378504 -27 52 49.953768852 -29.379 -33.642	  1.472        39.52	 9.725     9.046     8.601	    ~	 6.335     5.843     5.714     F/Gw		    
HD006312     HD 6312				 PM* 01 05 26.4881188200 +63 43 16.654465524 227.400 -164.501	  18.1158     -28.65	 8.85		~    7.9	    ~	 7.158     6.866     6.815     G0		    
HD006474     HD 6474				 s*y 01 06 59.7403213824 +63 46 23.393241156   -2.129 -0.344	  0.3663      -44.07	 9.11	   7.60 	  ~	    ~	 4.808     4.199     3.919     G4Ia		    
HD006582     * mu. Cas  			 SB* 01 08 16.3029454473 +54 55 12.561201263 3468.251 -1564.844   130.2881    -96.488899 5.86	   5.17      4.55      4.13	 4.03	   3.60      3.50      G5Vb		    
HD006734     * 29 Cet				 PM* 01 07 59.6638945208 +01 59 34.981418276 145.346 -437.989	  21.3525     -94.535	 7.31		~    5.9	    ~	 4.90	   4.56      4.31      G8IV/V		    
HD006755     HD 6755				 SB* 01 09 43.0577179701 +61 32 50.264076956  633.813 67.168	  6.3703     -315.95	 8.40		~    7.3	    ~	 6.197     5.759     5.662     G5		    
HD006805     * eta Cet  			 HB* 01 08 35.3913324413 -10 10 56.151936084 215.922 -139.029	  27.0603      11.10	 4.61	   3.45      2.61      2.03	 1.565     1.012     0.875     K2-IIIb  	    
HD006833     HD 6833				 *   01 09 52.2648344184 +54 44 20.278107384   21.194 35.552	  4.724      -243.28	 7.91	   6.74 	  ~	    ~	 4.64	   3.98      3.86      K0IIIbFe-2	    
HD006834     HD 6834				 *   01 09 35.2624590504 +39 46 51.768216264  -5.205 -38.379	  11.7278      31.60	 8.83	   8.41 	  ~	    ~	 7.520     7.317     7.286     F2		    
HD006920     * 44 And				 PM* 01 10 18.7404097416 +42 04 53.309986932 -135.569 -41.790	  18.8145     -13.626600 6.249     5.665	  ~	    ~	 4.935     4.493     4.46      F8V		    
