m0959V   4574.0   2.20  -0.84    10.0  0.450  0.450   0
m0981V   4436.0   2.00  -0.09   129.6  0.110  0.110   1
m0955V   4606.0   2.20  -0.84    10.0  0.150  0.150   0
m0946V   4639.0   1.73  -0.84    53.0  0.170  0.170   0
m0945V   4723.0   2.55  -0.84    22.1  0.010  0.010   0
m1015V   4048.0   1.34   0.03   169.5  0.130  0.130   1
m1052V   4210.0   2.21  -0.32   165.8  0.230  0.230   1
m1049V   4171.0   0.13  -1.92    10.0  0.560  0.560   1
m1155V   4419.0   2.25   0.16   184.7  0.200  0.200   1
m0183V   3670.0   4.70   0.00   246.0  0.110  0.110   0
m0630V   4056.0   4.64   0.28   241.9  0.120  0.120   1
m0388V   4398.0   3.45  -0.70   207.8  0.010  0.010   1
m0804V   4111.0   4.61  -0.11   109.8  0.190  0.190   0
m0537V   3897.0   4.66  -0.83   105.0  0.370  0.370   0
m0591V   3852.0   4.57  -0.28   188.7  0.060  0.060   0
m1030V   4657.0   2.19  -0.19   191.2  0.180  0.180   1
m1174V   4605.0   2.20  -0.20   173.9  0.200  0.200   1
m1114V   4542.0   2.43   0.11   210.4  0.050  0.050   1
m1098V   4658.0   2.37   0.06   142.0  0.070  0.070   1
m1179V   4585.0   2.11   0.17   174.5  0.110  0.110   1
m1156V   4712.0   2.56  -0.24   194.3  0.120  0.120   1
m1024V   4753.0   2.74   0.18   156.8  0.160  0.160   1
m1059V   4660.0   2.27   0.13   174.2  0.080  0.080   1
m1016V   4743.0   2.52   0.06   182.4  0.050  0.050   1
m1146V   4691.0   2.43   0.04   169.0  0.040  0.040   1
m1185V   4720.0   2.61  -0.33   175.6  0.140  0.140   1
m1188V   4765.0   2.59  -0.45   211.8  0.200  0.200   1
m1115V   4754.0   2.57  -0.24   159.5 -0.040 -0.040   1
m1117V   4739.0   2.68  -0.22   227.2 -0.030 -0.030   1
m1044V   4775.0   2.42  -0.26   184.1  0.080  0.080   1
m1038V   4735.0   2.39   0.12   179.7  0.030  0.030   1
m1139V   4706.0   2.41  -0.08   166.8  0.010  0.010   1
m1033V   4857.0   2.73   0.00   179.7  0.070  0.070   1
m1168V   4811.0   2.66  -0.15   179.6  0.060  0.060   1
m1164V   4792.0   2.73   0.06   175.8  0.050  0.050   1
m1060V   4657.0   2.47   0.26   188.9  0.100  0.100   1
m1036V   4837.0   2.60  -0.02   167.0 -0.010 -0.010   1
m1184V   4936.0   2.53  -0.21    10.0  0.130  0.130   1
m1203V   4752.0   2.47   0.16   195.5  0.090  0.090   1
m1074V   4905.0   2.75  -0.02   187.9  0.100  0.100   1
m1201V   4863.0   2.70   0.03   190.2  0.100  0.100   1
m1018V   4829.0   2.66   0.00   171.4  0.030  0.030   1
m1022V   5003.0   3.47  -0.46   239.4  0.330  0.330   1
m1050V   4880.0   2.61  -0.06   175.4  0.010  0.010   1
m1003V   5014.0   2.80  -0.43   187.7 -0.060 -0.060   1
m1041V   5009.0   2.82   0.11   180.3  0.050  0.050   1
m1045V   4770.0   2.74   0.09   159.5 -0.060 -0.060   1
m1046V   5005.0   2.87   0.05   175.1  0.000  0.000   1
m1053V   5003.0   2.80   0.04   207.3  0.080  0.080   1
m1054V   5025.0   2.89   0.04   178.5  0.000  0.000   1
m1061V   5028.0   2.79   0.00   203.9  0.100  0.100   1
m1067V   5011.0   2.78  -0.38   233.1  0.180  0.180   1
m1069V   4896.0   2.60   0.09   169.3 -0.140 -0.140   1
m1072V   4774.0   2.55  -0.65   182.6 -0.250 -0.250   1
